CRNN_data\000000.jpg	self
CRNN_data\000820.jpg	safety
CRNN_data\000821.jpg	second
CRNN_data\000822.jpg	sound
CRNN_data\000823.jpg	trapped
CRNN_data\000824.jpg	without
CRNN_data\000825.jpg	alarm
CRNN_data\000826.jpg	alarm
CRNN_data\000827.jpg	arrive
CRNN_data\000828.jpg	become
CRNN_data\000829.jpg	button
CRNN_data\000830.jpg	4
CRNN_data\000831.jpg	exit
CRNN_data\000832.jpg	floor
CRNN_data\000833.jpg	night
CRNN_data\000834.jpg	on
CRNN_data\000835.jpg	toilet
CRNN_data\000836.jpg	of
CRNN_data\000837.jpg	order
CRNN_data\000838.jpg	out
CRNN_data\000839.jpg	sorry
